identifier,collection,abstract,authors,subject,title
14,0227: Marshall University Regional Photograph Collection,"Edward Bouverie Pusey, col. 1841 Newman leaves Oxford. Pusey becomes active as leader of the Oxford Movement. 1846 Resumed preaching at Oxford. 1850-54 Fought against reform in the university, supporting the old tutorial system and continuance of religious training. 1855 Famous sermons on the Nature of Faith in relation to Reason. 1864 Daniel the Prophet published as a reaction against Essays and Reviews. 1882 Died and was buried in the cathedral at Oxford",,"Subject Terms: England Oxford Movement Clergy  Studio: W. H. Mason People:Pusey, Edward Bouverie (1800-1882) ","Dr. Edward Bouverie Pusey, Oxford"
15,0227: Marshall University Regional Photograph Collection,"His Royal Highness, Prince Albert, ca. 1860, col. (no backprint) Francis Albert Augustus Charles Emmanuel (1819-1861), officially: Prince Albert of Saxe-Coburg and Gotha, and Prince Consort. married to Queen Victoria",,"Subject Terms: England Royal Family   People:Prince Albert Emmanuel, Francis Albert Augustus Charles Prince Consort ",His Royal Highness Prince Albert
16,0227: Marshall University Regional Photograph Collection,"J. W. Maury, ca. 1860's, col. Unable to find who this guy was.",,"Subject Terms: man male photograph   Studio: J. S. Jenkins People:Maury, J. W. ","J. W. Maury, ca. 1860's"
17,0227: Marshall University Regional Photograph Collection,"John Bright, English Quaker, ca. 1860's, col. John Bright (16 November 1811 – 27 March 1889), Quaker, was a British Radical and Liberal statesman, associated with Richard Cobden in the formation of the Anti-Corn Law League. He was one of the greatest orators of his generation, and a strong critic of British foreign policy. Elliott & Fry was a Victorian photography studio and photographic film manufacturer, founded in 1863 by Joseph John Elliott and Clarence Edmund Fry. For a century the firm's core business was taking and publishing photographs of the Victorian public and social, artistic, scientific and political luminaries. In the 1880s the company operated three studios and four large storage facilities for negatives, with a printing works at Barnet. The firm's first address was 55 & 56 Baker Street in London, premises they occupied until 1919.",,"Subject Terms: Quakers Elliott & Fry England Clergy  Studio: Elliott & Fry People:Bright, John (1811-1889) ","John Bright, English Quaker, ca. 1860's"
18,0227: Marshall University Regional Photograph Collection,"Nannie & Willie, possibly William Lincoln, son of President Abe Lincoln, ca. 1860's, col. Back identified as ""Nannie & Willie"" The boy is possibly William Lincoln, known as ""Willie"", son of President Abraham Lincoln. Back has partial 3 cent US Revenue stamp",,"Subject Terms: Alex Gardner Studio   Studio: Alex Gardner People:Lincoln, William Wallace Willie ","Nannie & Willie, ca. 1860's"
19,0227: Marshall University Regional Photograph Collection,"Pierre Toule, lawyer and senator, ca. 1860's, col. Handwritten note on back reads: Pierre Toule-lawyer and Senator. In 1862 arrested in N. Orleans for disloyalty to the govt & confined some months in Ft. Lafayette.",,"Subject Terms: Civil War, 1861-1865 Politicians  Studio: E. Anthony People:Toule, Pierre ","Pierre Toule, lawyer and senator, ca. 1860's"
20,0227: Marshall University Regional Photograph Collection,"Rev. & Mrs. John Keble, Oxford , ca. 1860's, col. John Keble (25 April 1792 – 29 March 1866) was an English churchman and poet, one of the leaders of the Oxford Movement, and gave his name to Keble College, Oxford.",,"Subject Terms: Church of England Oxford Movement Clergy  Studio: Preston and Poole People:Keble, John (1792-1866) Keble, Mrs. John ","Rev.& Mrs. John Keble, Oxford, England. ca. 1860's"
21,0227: Marshall University Regional Photograph Collection,"Rev. C. M. Bellew, D.D, London, ca. 1860's, col. Little found on this guy. 1856 pub in England referred to him as one of the most eloquent preachers in London. His volume of sermons was published in 1856.",,"Subject Terms: England Clergy  Studio: London Stereoscopic & Photographic Co. People:Bellew, Rev. C. M. ","Rev. C. M. Bellew, D.D., London, 1860's"
22,0227: Marshall University Regional Photograph Collection,"Rev. Derwent Coleridge, ca. 1860's, col. Derwent was a child of Samuel Taylor Coleridge. distinguished scholar and author. In 1864 he accepted from Bishop Tait the rectory of Hanwell. Finding the parish church a long way from the population, he set to work to build a new one in the midst of them, and it was consecrated on the last day of 1879, when he was in his eightieth year.",,"Subject Terms: Church of England Clergy  Studio: London Stereoscopic & Photographic Co. People:Coleridge, Derwent (1800-1883) Coleridge, Samuel Taylor ","Rev. Derwent Coleridge, ca. 1860's"
23,0227: Marshall University Regional Photograph Collection,"Rev. Dr. Christopher Newman Hall, ca. 1860's, col. Rev. Dr. Christopher Newman Hall LLB (May 22, 1816 - February 18, 1902), born at Maidstone and known in later life as a 'Dissenter's Bishop', was one of the most celebrated nineteenth century English Nonconformist divines. He was active in social causes; supporting Abraham Lincoln and abolition of slavery during the American Civil War, the Chartist cause, and arranging for influential Nonconformists to meet Gladstone. Come to Jesus, first published in 1848 also contributed to his becoming a household name throughout Britain, the USA and further afield",,"Subject Terms: England Church of England Clergy  Studio: Elliott & Fry People:Hall, Christopher Newman (1816-1902) ","Rev. Dr. Christopher Newman Hall, England, Ca. 1860's"
24,0227: Marshall University Regional Photograph Collection,"Rev. Dr. J. W. Cummings, ca. 1860's, col. The Rev. J. W. Cummings (1814-1866) was said to have been one of the best known Roman Catholic clergymen of New York. He was the pastor of St. Stephens Church and is entombed there. He studied in Rome and at the Vatican.",,"Subject Terms: Catholic Church Clergy  Studio: W & D Downey Photographers People:Cummings, Rev. J. W. ",Rev. Dr. J. W. Cummings ca. 1860's
25,0227: Marshall University Regional Photograph Collection,"Richard Chenevix Trench, Archbishop of Dublin, col. In 1856 Trench became Dean of Westminster Abbey, a position which suited him. Here he introduced evening nave services. In January 1864 he was advanced to the post of Archbishop of Dublin. Arthur Penrhyn Stanley had been first choice, but was rejected by the Irish Church (see 1978.0227.07.23) He was called Dean Trench when he was Dean of Christ Church, Dublin.",,"Subject Terms: England Archbishop of Dublin Clergy  Studio: H. Hering People:Trench, Richard Chenevix (1807-1886) ","Richard Chenevix Trench, Archibishop of Dublin,"
26,0227: Marshall University Regional Photograph Collection,"Samuel Wilberforce, Bishop of Oxford, ca. 1860's, col. Samuel Wilberforce (7 September 1805 – 19 July 1873) was an English bishop in the Church of England, third son of William Wilberforce. Known as ""Soapy Sam"", Wilberforce was one of the greatest public speakers of his day.",,"Subject Terms: Church of England   Studio: J. Guggenheim People:Wilberforce, Samuel (1805-1873) Bishop of Oxford ","Samuel Wilberforce, Bishop of Oxford, England ca. 1860's"
27,0227: Marshall University Regional Photograph Collection,"unidentified Civil War general, ca. 1860's, col. Handwritten note on front appears to be Gen. Ferrell (or Tisdale, or Linville, etc. ) No Confederate or Union General could be found with any of these names. The Handwritten name on the back appears to be ""Ferrall."" No general on either list with that name either.",,"Subject Terms: Civil War, 1861-1865 Generals  Studio: E. & H.T. Anthony ","Civil War general, ca. 1860's"
28,0227: Marshall University Regional Photograph Collection,"Unidentified female, ca. 1860's, col. Excellent backprint.",,Subject Terms: woman female photograph   Studio: Dyerly People:Unidentified ,"Unidentified female, ca. 1860's"
29,0227: Marshall University Regional Photograph Collection,"Unidentified female, ca.1860's, col. Backprint states ""This picture is finished in India ink, not made elsewhere."" Cheeks are hand colored",,Subject Terms: woman female photograph   Studio: J. Haldt's Crayon Gallery People:Unidentified ,"Unidentified female, ca. 1860's"
30,0227: Marshall University Regional Photograph Collection,"Unidentified male, ca. 1860's, col. Early Brady backprint with 3 cent revenue stamp This revenue stamp was issued in 1862-63",,"Subject Terms: Brady studio   Studio: Matthew Brady People:Unidentified Brady, Matthew ",Unidentified male
31,0227: Marshall University Regional Photograph Collection,"Unidentified male, ca.1860's, col.",,Subject Terms: Alex Gardner Studio   Studio: Alex Gardner People:Unidentified ,"Unidentified male, ca. 1860's"
32,0227: Marshall University Regional Photograph Collection,"W. S. Archer of Bel-Air, Md., ca. 1860's, col. hand-written on back: W.S. Archer, Bel-Air, Md. Excellent backprint.",,"Subject Terms: Canada   Studio: W. Notman People:Archer, W.S. ","W.S. Archer of Bel-Air, Md. ca. 1860's"
33,0276: Harlow Warren Papers,"Benjamin Franklin Harlow, Pvt, Co A & K, 14th Virginia Cavalry, CSA during Civil War, b&w Harlow was Colonel on staff of Gov. Wilson of WVA, postwar. Editor of the Greenbrier Independent for 22 years.",,"People: Harlow, Benjamin Franklin Subject Terms: ""Greenbrier Independent"" 14th Virginia Cavalry Confederate States Army Civil War, 1861-1865 Soldiers ","Benjamin Franklin Harlow, Pvt, Co A & K, 14th Virginia Cavalry, CSA, Civil War"
34,0379: Alma Nease Noble Papers,"Tintype of two unidentified young women, b&w. Excellent example of original tintype.",,People: Unidentified women ,Tintype of two unidentified young women.
35,0633: Helen Alexander Papers,"A. Frank Laisley, ca. 1860's, b&w. no backprint Back has 2 cent internal revenue stamp, hand canceled. This was most likely an ancestor of Helen Alexander's mother, who was a Laisley.",,"People: Laisley, A. Frank ","A. Frank Laisley, ca. 1860's"
36,0633: Helen Alexander Papers,"Two unidentified women, ca. 1860's. Excellent example of cased ambrotypes. Cased in gutta percha case, typical of early 1860's. These women are supposedly ancestors of Helen Alexander.",,Subject Terms: Alexander family  People: Unidentified women ,"Two unidentified women, ca. 1860's"
37,0703: Rosanna Blake Collection,Carte de visite of Confederate General and Congressman Roger Atkinson Pryor. Probably from a pre-Civil War image.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: Frank E. Pearsall, Artist. People: Pryor, Roger Atkinson (1828-1919) ",Roger Atkinson Pryor Carte de visite
38,0703: Rosanna Blake Collection,"Carte de visite of Confederate General Fitzhugh Lee. Pre-Civil War image of him in his U.S. Cavalry uniform, ca. 1859-1860. No backplate Rare, pre-civil war image of Fitzhugh Lee, when an officer int he U.S. Cavalry.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  People: Lee, Fitzhugh (1835-1905) ",Fitzhugh Lee Carte de visite
39,0703: Rosanna Blake Collection,Carte de visite of Confederate General Gabriel James Rains. From a pre-Civil War image. This image was confused with the other Confederate General Rains. ( James Edward),,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: E & H.T. Anthony People: Rains, Gabriel James (1803-1881) ",Gabriel James Rains Carte de visite
40,0703: Rosanna Blake Collection,Carte de visite of Confederate General Robert Augustus Toombs. From a pre-war image.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: Charles D. Fredricks & Co. People: Toombs, Robert Augustus, 1810-1885 ",Robert A. Toombs Carte de visite
41,0703: Rosanna Blake Collection,"Carte de visite of Confederate General Robert E. Lee. Rare pre-Civil War image. From a daguerreotype by Mathew Brady made in 1850. Known as the ""West Point photo.""",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Generals Studio: Silsbee, Case & Co. People: Lee, Robert E. (Robert Edward), 1807-1870 ",Robert E. Lee Carte de visite
42,0703: Rosanna Blake Collection,"Jefferson Davis, from the Matthew Brady image, pre-war, b&w It is believed to be a copy from the Matthew Brady pre-Civil War image.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Presidents People: Davis, Jefferson, 1808-1889 Brady, Matthew ","Jefferson Davis, from the Matthew Brady image, pre-war"
43,0703: Rosanna Blake Collection,"President James Buchanan's Cabinet, ca. 1860, b&w. Cabinet members were: John B. Floyd Aaron Brown Isaac Toucey Jermiah Black Jacob Thompson Lewis Cass John C. Breckenridge (probably made 1859-1860)",,"Subject Terms: United States of America United States President Presidents Cabinet officers Studio: Pub. by J. Vanzeson People: Buchanan, James, (1791-1868) Floyd, John Buchanan (1806-1863) Cass, Lewis Breckinridge, John C. Brown, Aaron Black, Jeremiah Thompson, Jacob Topucey, Isaac ","President James Buchanan's Cabinet, ca. 1860 Lithograph of Battle Near Mill Springs, Ky., and Death of Gen. Zollicoffer, 1862"
44,"0703: Rosanna Blake Collection, Personal Papers","Two unidentified boys in Confederate uniforms, hand colorized, col. Backprint of E.J. Rees & Co., Richmond, Va.",,Subject Terms: Confederate States Army Cartes de visite Studio: Washington Star People: Unidentified group ,Two unidentified boys in Confederate uniforms
45,0818: Floyd Hoard Stark & Pitt Hoard Stark Collection,"Congressmen Eli Thayer and Charles B. Hoard, b&w. No backprint. Eli Thayer, seated, Hoard standing.were founders of town of Ceredo, WVa.",,"Subject Terms: Stark-Hoard family; Ceredo, W. Va.; Cartes de visite; Politicians People: Thayer, Eli; Hoard, Charles B. ",Congressmen Eli Thayer and Charles B. Hoard
46,0818: Floyd Hoard Stark & Pitt Hoard Stark Collection,"Image of unidentified woman, cheeks colorized, col. Front cover of frame in pieces, but complete.",,Subject Terms: Stark-Hoard family; Ambrotypes People: Unidentified man ,"Image of unidentified man, cheeks colorized"
47,0818: Floyd Hoard Stark & Pitt Hoard Stark Collection,"Image of unidentified woman, cheeks colorized, col. Front cover of frame missing.",,Subject Terms: Stark-Hoard family; Ambrotypes People: Unidentified woman ,"Image of unidentified woman, cheeks colorized"
48,0818: Floyd Hoard Stark & Pitt Hoard Stark Collection,"Image of unidentified woman, cheeks colorized, col. Front cover of frame separated from back cover, but complete.",,Subject Terms: Stark-Hoard family; Ambrotypes People: Unidentified woman ,"Image of unidentified woman, cheeks colorized"
49,0227: Marshall University Regional Photograph Collection,"Union soldiers near Gauley Ferry, W.Va., drawn by J. Nep Roesler, b&w. Caption reads: drawn by J. Nep Roesler, Corp of Color Guard, Company G, 47th Regt OV, USA. note on back reads: from Sam Clagg papers 7/86",,"Subject Terms: Gauley Ferry, W.Va. Civil War, 1861-1865 47th Ohio Infantry   Studio: Printed by Ehrgott, Forbriger & Co. People:Roesler, J. Nep ",View near Gauley Ferry (W.Va.)
50,0703: Rosanna Blake Collection,"$100 bond issued by State of South Carolina, 1861. 6 percent bond No. 3607. One interest coupon on bottom. Signed by T. J. Pickens, Comptroller General. Printed by Evans & Cogswell, printers. Printed on coupon states it was issued under the Act of 1860, ""for arming the state""",,"Subject Terms: Civil War, 1861-1865 Confederate States of America South Carolina Evans & Cogswell Bonds (Negotiable instruments) People: Pickens, T. J. ","$100 bond issued by State of South Carolina, 1861. 6 percent bond No. 3607. One interest coupon on bottom."
51,0703: Rosanna Blake Collection,"Carte de visite of Confederate General Albert S. Johnston, CSA, b&w Name misspelled on front as Johnson. (Johnston is correct) A similiar pose is 2001.0703.104 which was colorized.",,"Subject Terms: Confederate States of America Civil War, 1861-1865  People: Johnston, Albert S. ","Carte de visite of Gen. Albert S. Johnston, CSA"
52,0703: Rosanna Blake Collection,"Carte de visite of the CSS Alabama, ca. 1860's, b&w note on back reads: 290 or CSS Alabama (290 was the ship number of the Alabama when it was being built) No backprint",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Confederate States Navy CSS Alabama Ships Blockade running ","Carte de visite of the CSS Alabama, ca. 1860's"
53,0703: Rosanna Blake Collection,"Raphael Semmes, captain of the CSS Alabama, ca. 1860's, b&w note on back reads: Capt. Semmes (290 was the ship number of the Alabama when it was being built) No backprint",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Confederate States Navy CSS Alabama  People: Semmes, Raphael (1809-1877) ","Raphael Semmes, captain of the CSS Alabama, ca. 1860's"
54,0703: Rosanna Blake Collection,"Raphael Semmes, captain of the CSS Alabama, ca. 1860's, col. red trim caption on front reads: Semmes of the 290 (290 was the ship number of the Alabama when it was being built) No backprint",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Confederate States Navy CSS Alabama  People: Semmes, Raphael (1809-1877) ","Raphael Semmes, captain of the CSS Alabama, ca. 1860's"
55,0703: Rosanna Blake Collection,"Raphael Semmes, captain of the CSS Alabama, ca. 1860's, col.green trim (290 was the ship number of the Alabama when it was being built) No backprint similiar to 2006.0703.237, but with green trim",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Confederate States Navy CSS Alabama  People: Semmes, Raphael (1809-1877) ","Raphael Semmes, captain of the CSS Alabama, ca. 1860's"
56,0703: Rosanna Blake Collection,"Small Confederate flag, modified 1st National pattern, ca. 1861-62. Sewn cotton. Appraiser Rafael Eledge sttated it was made in late 1861 or early 1862, due to type of blue cloth. Rosanna Blake stated it was found in New Orleans when Union Army occupied city. Also called the ""11-star pattern""",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Flags ","Small Confederate flag, modified 1st National pattern, ca. 1861-62. Sewn cotton."
57,0703: Rosanna Blake Collection,"Unidentified girl, Civil War period, hand colorized Backprint of Vannerson & Jones, Photographer, Richmond US Proprietary stamp",,Subject Terms:  Children Studio: Vannerson & Jones People: Unidentified ,"Unidentified girl, Civil War period"
58,0227: Marshall University Regional Photograph Collection,"Barboursville, Va., Nov. 1861, 34th Regiment Ohio Volunteers (Union), b&w. of a painting Notes on back reads: See Ms26 Bx 7 Fd 4 for another copy Gift of Robert Chapman 18 May 1981 Original painting is in the Barboursville DAR cabin. Photo in Wallace's ""Cabell Annals and Families,"" p.317.",,"Subject Terms: Barboursville, W. Va. U. S. History, 1815-1861 34th Ohio Volunteer Infantry Civil War, 1861-1865 Streets  ","Barboursville, Va. now W.Va., Nov. 1861, 34th Regiment Ohio Volunteers (Union)"
59,0405: Curtis F. Baxter Papers,"Unidentified girl with hand colored cheeks, ca. 1860's. This is an excellent example of the hand colorizing of these black and white tintypes.",,Subject Terms:  Tintypes People: Unidentified ,Unidentified girl
60,0655: Ensign Family Papers,"Carte-de-visite of Ely Ensign, ca. 1860's, col. There is an imprint stamp below the photo on the front that reads:C. D. Fredericks & Co. Fredericks was the first photographer to produce CDV's in the United States and his CDV's are somewhat rare. Ensign was born 19 Dec 1840 in Litchfield, Conn.",,"Subject Terms: Ensign family Men People: Ensign, Ely Studio: C. D. Fredericks & Co. ","Ely Ensign, ca. 1860's"
61,0703: Rosanna Blake Collection,"$100 bond issued by State of Louisiana, 1862. 8 percent bond No. 2973. Interest coupons on two sides and bottom. Signed by Thomas O. Moore, governor of La. Issued under Confederate States of America.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Louisiana Bonds (Negotiable instruments) People: Moore, Thomas O. ","$100 bond issued by State of Louisiana, 1862. 8 percent bond No. 2973. Interest coupons on two sides and bottom."
62,0703: Rosanna Blake Collection,"Assessment of damages to property done by Confederate troops in Frederick Co., Va. 1862. Damages were to property of Mordica Pursell. Assessors were selected by CSA Gen. D. H. Hill.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Frederick County, Va. Paperwork People: Hill, Daniel Harvey Pursell, Mordica ","Assessment of damages to property done by Confederate troops in Frederick Co., Va. 1862."
63,0703: Rosanna Blake Collection,"Broadside ""To the people of Western Virginia"" issued in Charleston, Va (now W.Va.), by Confederate Gen. W. W. Loring, 1862 Issued by Confederate Gen. W. W. Loring informing the people that the Confederate Army was coming amoung them peaceably.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Charleston, W. Va. Broadsides Generals Military policy People: Loring, W. W. ","Broadside ""To the people of Western Virginia"" issued in Charleston, Va (now W.Va.), by Confederate Gen. W. W. Loring, 1862"
64,0703: Rosanna Blake Collection,Carte de visite of Confederate Congressman William Lowndes Yancey. Yancey was a Confederate Congressman and diplomat to England.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: E. Anthony People: Yancey, William Lowndes (1814-1863) ",William Lowndes Yancey Carte de visite
65,0703: Rosanna Blake Collection,Carte de visite of Confederate Gen. Humphrey Marshall. Probably early Civil War.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: E. Anthony People: Marshall, Humphrey (1812-1872) ",Humphrey Marshall Carte de visite
66,0703: Rosanna Blake Collection,"Carte de visite of Confederate General Albert Gallatin Jenkins. He was mortally wounded in action at the Battle of Cloyd's Mountain, Va., May 1864.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Jenkins family 8th Va. Cavalry Soldiers People: Jenkins, Albert Gallatin ",Albert Gallatin Jenkins Carte de visite
67,0703: Rosanna Blake Collection,Carte de visite of Confederate General Albert Pike. No backplate. No photo of Pike in his Confederate uniform is known to exist.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: Chas. Magnus People: Pike, Albert (1809-1891) ",Albert Pike Carte de visite
68,0703: Rosanna Blake Collection,"Carte de visite of Confederate General Edmund Kirby Smith. From a pre-Civil war image. Bottom of CDV reads ""Entered according to Act of Congress in the year 1862, by J. Gurney & Son""",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: J. Gurney & Son People: Smith, Kirby ",E. Kirby Smith Carte de visite
69,0703: Rosanna Blake Collection,"Carte de visite of Confederate General Felix Kirk Zollicoffer. From a negative in Matthew Brady's Gallery. Backplate states photo was from a negative from Brady's National Portrait Gallery. ""The Confederate General"" Vol. VI, page 174 states this uniform was painted on by the studio. He was killed in action at the Battle of Mill Springs, Ky. in 1862.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: E. & H. T. Anthony People: Zollicoffer, Felix Kirk (1812-1862) ",Felix K. Zollicoffer Carte de visite
70,0703: Rosanna Blake Collection,"Carte de visite of Confederate General Felix Kirk Zollicoffer. In the uniform of a general in Tenn. State Troops. He was killed in action at the Battle of Mill Springs, Ky. in 1862.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: C. D. Fredricks & Co. People: Zollicoffer, Felix Kirk (1812-1862) ",Felix K. Zollicoffer Carte de visite
71,0703: Rosanna Blake Collection,"Carte de visite of Confederate General John C. Breckinridge. Back stamp reads ""D. Appleton & Co"", b&w Backprint reads: ""Cartes de visite, D. Appleton & Co. 443 & 445 Bway, New York""",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Generals Studio: D. Appleton & Co. People: Breckinridge, John C. ",John C. Breckinridge Carte de visite
72,0703: Rosanna Blake Collection,"Carte de visite of Confederate General John C. Breckinridge., b&w No backprint",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Generals People: Breckinridge, John C. ",John C. Breckinridge Carte de visite
73,0703: Rosanna Blake Collection,"Carte de visite of Confederate General John Hunt Morgan. Printed in 1862. Bottom of card reads: ""Entered according to the Act of Congress 1862 by E. Anthony in the Clerk's office of the District Court of the U. S. for the So. District of New York.""",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: E. Anthony People: Morgan, John Hunt (1825-1864) ",John Hunt Morgan Carte de visite
74,0703: Rosanna Blake Collection,"Carte de visite of Confederate General Roger W. Hanson. In his Mexican War uniform. No backplate. Killed in action three weeks after being promoted to brig. gen. He died Jan. 4, 1863 at the Battle of Stone's River.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: Chas. Magnus People: Hanson, Roger Weightman (1827-1863) ",Roger W. Hanson Carte de visite
75,0703: Rosanna Blake Collection,Carte de visite of Confederate General Thomas Hart Taylor. From an original made after 1862.,,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: E & H.T. Anthony People: Taylor, Thomas Hart (1825-1901) ",Thomas H. Taylor Carte de visite
76,0703: Rosanna Blake Collection,"Carte de visite of Confederate General Thomas L. Clingman. No backplate. This image is pre-Civil War and is the same one in the Dept. of Archives, Louisiana State Univ., Baton Rouge.",,"Subject Terms: Civil War, 1861-1865 Confederate States of America  Studio: Chas. Magnus People: Clingman, Thomas Lanier (1812-1897) ",Thomas L. Clingman Carte de visite
77,0703: Rosanna Blake Collection,"Carte de visite of Confederate Generals of the South, b&w No backprint",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Generals People: Hood, John B. Forrest, Nathan Bedford (1821-1877) Buckner, Simon Bolivar (1823-1914) Marshall, Humphrey (1812-1872) Hardee, William Joseph (1815-1873) Lovell, Mansfield (1822-1884) Smith, Kirby ",Carte de visite of Confederate Generals of the South
78,0703: Rosanna Blake Collection,"Carte de visite of Confederate President Jefferson Davis Image of signature across front of photo. Backprint of Vannerson & Jones, Photographers, Richmond",,"Subject Terms: Civil War, 1861-1865 Confederate States of America Presidents Studio: Vannerson & Jones People: Davis, Jefferson, 1808-1889 ","Jefferson Davis, President of CSA"
